Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber,address_line1,address_line2,city,state,postal_code
66kV Compact Sub-Station,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT VCB Panels,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Metering Cubicle with LBS,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT VCB Panel with VCB,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV RMU,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Control & Relay Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Outdoor CT/PT Unit,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Indoor CT/PT Unit,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV Indoor VCB Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV Control & Relay Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV HT Control & Relay Panel with VCB,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
AC Distribution Box (Single & Double Front),"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
DC Distribution Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
DTC LT Metering Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
LT Meter Boxes,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
Feeder Pillar 8-Way & 12-Way,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
GI Trunking Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
DTC Distribution Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
M+3 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201,M/s. Vinayaka Fabrication,D/17,Visakhapatnam-,,530012
